TOWN,Year,kWh Usage: Commercial,kWh Usage: Residential,kWh Savings: Commercial,kWh Savings: Residential,Number of Households,Average Residential kWh Usage/ Household,Average Residential kWh Savings/ Household,Savings as % of Usage,MMBtu Savings: Commercial,MMBtu Savings: Residential
ADDISON,01/01/2011 12:00:00 AM,3258405,3743341,202118,175009,479,7815,365,5%,1,311
ALBANY,01/01/2011 12:00:00 AM,494535,2545223,9383,26259,482,5281,54,1%,0,0
ALBURG,01/01/2011 12:00:00 AM,3715648,7443534,79769,83056,1332,5588,62,1%,-6,13
ANDOVER,01/01/2011 12:00:00 AM,31381,1717580,6100,11225,288,5964,39,1%,0,125
ARLINGTON,01/01/2011 12:00:00 AM,16727294,9319063,155086,277577,1297,7185,214,3%,8,184
ASCUTNEY,01/01/2011 12:00:00 AM,1913071,2043246,1051,21761,296,6903,74,1%,-1,1
ATHENS,01/01/2011 12:00:00 AM,55665,497220,0,1794,95,5234,19,0%,0,0
AVERILL,01/01/2011 12:00:00 AM,29153,86292,0,0,48,1798,0,0%,0,0
BAKERSFIELD,01/01/2011 12:00:00 AM,626480,3042420,15311,39273,389,7821,101,1%,82,-1
BALTIMORE,01/01/2011 12:00:00 AM,7389,261395,0,831,38,6879,22,0%,0,49
BARNARD,01/01/2011 12:00:00 AM,1266275,4230384,0,27042,634,6673,43,1%,0,129
BARNET,01/01/2011 12:00:00 AM,1785822,5357707,3204,118841,817,6558,145,2%,-2,-5
BARRE,01/01/2011 12:00:00 AM,47623270,43010854,1447138,1701516,6238,6895,273,4%,1976,308
BARTON,01/01/2011 12:00:00 AM,3415271,6884814,90439,110826,1398,4925,79,2%,-35,-7
BELLOWS FALLS,01/01/2011 12:00:00 AM,16604847,14677052,67417,151696,2089,7026,73,1%,-43,124
BELMONT,01/01/2011 12:00:00 AM,98190,105148,0,9220,19,5534,485,9%,0,0
BELVIDERE CENTER,01/01/2011 12:00:00 AM,70404,1020873,7826,17519,181,5640,97,2%,0,-3
BENNINGTON,01/01/2011 12:00:00 AM,89120216,40707510,1881694,1662614,5855,6953,284,4%,7079,453
BENSON,01/01/2011 12:00:00 AM,610835,1714793,7463,26323,300,5716,88,2%,-6,-1
BERKSHIRE,01/01/2011 12:00:00 AM,3364769,4848633,215697,36060,588,8246,61,1%,-4,6
BERLIN,01/01/2011 12:00:00 AM,36244674,6866419,731917,182288,910,7546,200,3%,418,453
BETHEL,01/01/2011 12:00:00 AM,17152838,6149921,94730,125313,927,6634,135,2%,-28,473
BLOOMFIELD,01/01/2011 12:00:00 AM,260399,722449,0,2670,140,5160,19,0%,0,0
BOLTON ,01/01/2011 12:00:00 AM,2658385,3813256,1352,16642,562,6785,30,0%,-1,93
BOMOSEEN,01/01/2011 12:00:00 AM,383066,3570857,0,88672,684,5221,130,2%,0,51
BONDVILLE,01/01/2011 12:00:00 AM,1443689,3177963,0,48479,400,7945,121,2%,0,-3
BRADFORD,01/01/2011 12:00:00 AM,9020068,7752996,338538,358356,1202,6450,298,5%,-23,19
BRAINTREE,01/01/2011 12:00:00 AM,491485,1310704,43481,30481,217,6040,140,2%,-3,99
BRANDON,01/01/2011 12:00:00 AM,11623914,16623318,54294,307919,2265,7339,136,2%,86,383
BRATTLEBORO,01/01/2011 12:00:00 AM,134932041,38994690,2753038,1433791,6217,6272,231,4%,-928,1055
BRIDGEWATER,01/01/2011 12:00:00 AM,2887577,3915852,15822,13392,553,7081,24,0%,0,85
BRIDGEWATER CORNERS,01/01/2011 12:00:00 AM,4159,84836,6140,8411,13,6526,647,10%,0,0
BRIDPORT,01/01/2011 12:00:00 AM,1832835,5651684,298153,191059,556,10165,344,3%,118,83
BRISTOL,01/01/2011 12:00:00 AM,9144648,15134602,387629,141180,2090,7241,68,1%,222,363
BROOKFIELD,01/01/2011 12:00:00 AM,625794,4656296,46936,72286,651,7153,111,2%,0,286
BROOKLINE,01/01/2011 12:00:00 AM,56165,873459,0,2233,151,5784,15,0%,0,61
BROWNINGTON,01/01/2011 12:00:00 AM,530815,2152047,0,21466,352,6114,61,1%,0,1
BRUNSWICK,01/01/2011 12:00:00 AM,280682,297966,307,3427,50,5959,69,1%,0,0
BUELS GORE,01/01/2011 12:00:00 AM,0,13607,0,0,6,2268,0,0%,0,0
BURLINGTON,01/01/2011 12:00:00 AM,259757422,85176693,5452000,2787000,16343,5212,171,3%,0,76
CABOT,01/01/2011 12:00:00 AM,12932827,4557586,537618,50384,684,6663,74,1%,-175,170
CALAIS,01/01/2011 12:00:00 AM,399914,3953488,0,53270,693,5705,77,1%,0,219
CAMBRIDGE,01/01/2011 12:00:00 AM,8052888,10779146,29814,115087,1597,6750,72,1%,28,153
CAMBRIDGEPORT,01/01/2011 12:00:00 AM,68261,616799,1199,2731,87,7090,31,0%,0,42
CANAAN,01/01/2011 12:00:00 AM,5913317,2736009,279900,14389,538,5086,27,1%,-5,20
CASTLETON,01/01/2011 12:00:00 AM,11579176,9076294,96526,178383,1154,7865,155,2%,455,87
CAVENDISH,01/01/2011 12:00:00 AM,4755224,3739562,13586,39453,597,6264,66,1%,126,6
CENTER RUTLAND,01/01/2011 12:00:00 AM,4209920,1284264,28026,19919,197,6519,101,2%,-1,2
CHARLESTON,01/01/2011 12:00:00 AM,1016006,2579965,31367,90697,469,5501,193,4%,0,2
CHARLOTTE,01/01/2011 12:00:00 AM,2942692,15577918,34111,593845,1767,8816,336,4%,372,772
CHELSEA,01/01/2011 12:00:00 AM,1925108,3792217,2189,73055,631,6010,116,2%,241,266
CHESTER,01/01/2011 12:00:00 AM,7082630,14066967,113427,233323,1939,7255,120,2%,-65,289
CHESTER DEPOT,01/01/2011 12:00:00 AM,116510,296791,3699,396,39,7610,10,0%,-3,0
CHITTENDEN,01/01/2011 12:00:00 AM,1082266,4820708,307,39792,642,7509,62,1%,0,239
CLARENDON,01/01/2011 12:00:00 AM,13176369,9204922,292093,118261,1139,8082,104,1%,193,792
COLCHESTER,01/01/2011 12:00:00 AM,84013183,49864517,1220633,3743960,7052,7071,531,8%,90,-563
CONCORD,01/01/2011 12:00:00 AM,904106,4366991,10641,60130,605,7218,99,1%,-9,-7
CORINTH,01/01/2011 12:00:00 AM,399560,3992964,0,52667,719,5553,73,1%,0,0
CORNWALL,01/01/2011 12:00:00 AM,336501,1700283,1341,81819,196,8675,417,5%,0,107
COVENTRY,01/01/2011 12:00:00 AM,2092417,3012385,93990,30472,471,6396,65,1%,726,3
CRAFTSBURY,01/01/2011 12:00:00 AM,845685,3826293,14076,147600,564,6784,262,4%,196,197
CUTTINGSVILLE,01/01/2011 12:00:00 AM,461688,2407771,307,51164,305,7894,168,2%,0,159
DANBY,01/01/2011 12:00:00 AM,3042715,5989855,72906,52163,746,8029,70,1%,-49,225
DANVILLE,01/01/2011 12:00:00 AM,3200051,6679385,49022,185744,1011,6607,184,3%,286,152
DERBY,01/01/2011 12:00:00 AM,23797920,14483833,177839,280793,2364,6127,119,2%,-63,223
DORSET,01/01/2011 12:00:00 AM,2615344,8653520,96563,93410,881,9822,106,1%,-43,213
DOVER,01/01/2011 12:00:00 AM,259384,2602866,4445,3936,411,6333,10,0%,-3,36
DUMMERSTON,01/01/2011 12:00:00 AM,2564036,3084105,77442,16837,386,7990,44,1%,-23,176
DUXBURY,01/01/2011 12:00:00 AM,504355,947441,0,16190,159,5959,102,2%,0,61
EAST ARLINGTON,01/01/2011 12:00:00 AM,349274,1074868,1003,24350,153,7025,159,2%,0,66
EAST BARRE,01/01/2011 12:00:00 AM,809939,3462240,13037,62466,479,7228,130,2%,-10,46
EAST BURKE,01/01/2011 12:00:00 AM,3506321,5803266,41358,49248,967,6001,51,1%,-1,47
EAST CALAIS,01/01/2011 12:00:00 AM,176362,663432,2760,35014,105,6318,333,5%,-2,114
EAST CONCORD,01/01/2011 12:00:00 AM,4048,248364,0,2701,50,4967,54,1%,0,0
EAST CORINTH,01/01/2011 12:00:00 AM,716204,3745346,17545,51707,633,5917,82,1%,-1,3
EAST DORSET,01/01/2011 12:00:00 AM,1048809,2762197,76352,44263,364,7588,122,2%,-57,20
EAST DOVER,01/01/2011 12:00:00 AM,21564,299649,68784,42403,45,6659,942,14%,552,-8
EAST DUMMERSTON,01/01/2011 12:00:00 AM,29470,459320,0,4440,68,6755,65,1%,0,0
EAST FAIRFIELD,01/01/2011 12:00:00 AM,406347,1189789,7373,55502,59,20166,941,5%,0,-3
EAST HARDWICK,01/01/2011 12:00:00 AM,291838,2900888,307,260901,409,7093,638,9%,0,28
EAST HAVEN,01/01/2011 12:00:00 AM,52934,842340,8609,4728,144,5850,33,1%,-5,0
EAST MIDDLEBURY,01/01/2011 12:00:00 AM,654628,2189678,3690,20948,304,7203,69,1%,-2,65
EAST MONTPELIER,01/01/2011 12:00:00 AM,2620689,8048919,93547,202462,1121,7180,181,3%,-70,415
EAST POULTNEY,01/01/2011 12:00:00 AM,2947,120248,0,9283,11,10932,844,8%,0,-3
EAST RYEGATE,01/01/2011 12:00:00 AM,108641,411658,998,8672,58,7098,150,2%,0,0
EAST SAINT JOHNSBURY,01/01/2011 12:00:00 AM,46027,674493,0,8091,82,8226,99,1%,0,0
EAST WALLINGFORD,01/01/2011 12:00:00 AM,225494,1380548,0,14136,220,6275,64,1%,0,175
EDEN,01/01/2011 12:00:00 AM,662872,4016738,0,33161,658,6104,50,1%,0,87
ELMORE,01/01/2011 12:00:00 AM,8338,344108,0,1737,62,5550,28,1%,0,0
ENOSBURG,01/01/2011 12:00:00 AM,57141,439378,0,2424,69,6368,35,1%,0,1
ENOSBURG FALLS,01/01/2011 12:00:00 AM,12860599,13593289,366243,716549,1429,9512,501,5%,-50,187
ESSEX,01/01/2011 12:00:00 AM,44050319,24540593,2004783,858880,3281,7480,262,3%,-1347,42
ESSEX JUNCTION,01/01/2011 12:00:00 AM,25667696,32019834,291125,2221687,4746,6747,468,7%,457,132
EVANSVILLE,01/01/2011 12:00:00 AM,1112,11410,0,0,4,2853,0,0%,0,0
FAIR HAVEN,01/01/2011 12:00:00 AM,8552794,12021419,48365,266918,1413,8508,189,2%,11,93
FAIRFAX,01/01/2011 12:00:00 AM,5111024,13818109,105387,298125,1760,7851,169,2%,2,249
FAIRFIELD,01/01/2011 12:00:00 AM,2342599,6020510,278930,163755,750,8027,218,3%,467,244
FAIRLEE,01/01/2011 12:00:00 AM,6152387,3572447,42294,73320,570,6267,129,2%,-26,33
FAYSTON,01/01/2011 12:00:00 AM,16314,197059,5261,7469,38,5186,197,4%,-5,101
FERDINAND,01/01/2011 12:00:00 AM,23568,77265,0,0,20,3863,0,0%,0,0
FERRISBURGH,01/01/2011 12:00:00 AM,7524806,11012794,220180,595229,1391,7917,428,5%,-76,85
FLETCHER,01/01/2011 12:00:00 AM,581734,4278540,586,7819,560,7640,14,0%,0,70
FLORENCE,01/01/2011 12:00:00 AM,44032225,1341671,0,32672,178,7537,184,2%,0,-4
FRANKLIN,01/01/2011 12:00:00 AM,2225680,4091487,65611,179750,763,5362,236,4%,30,126
GEORGIA,01/01/2011 12:00:00 AM,28554752,14226606,417817,145116,1730,8223,84,1%,27,214
GILMAN,01/01/2011 12:00:00 AM,225402,972994,34233,2135,154,6318,14,0%,0,0
GLOVER,01/01/2011 12:00:00 AM,1224696,3112708,10417,44863,712,4372,63,1%,-2,89
GOSHEN,01/01/2011 12:00:00 AM,91490,221410,0,2099,47,4711,45,1%,0,0
GRAFTON,01/01/2011 12:00:00 AM,1401827,3028926,18070,13821,459,6599,30,0%,98,11
GRANBY,01/01/2011 12:00:00 AM,11753,250670,0,491,50,5013,10,0%,0,0
GRAND ISLE,01/01/2011 12:00:00 AM,3945966,7626446,121163,123180,1113,6852,111,2%,310,-1037
GRANITEVILLE,01/01/2011 12:00:00 AM,301492,3002974,1557,64276,401,7489,160,2%,-1,13
GRANVILLE,01/01/2011 12:00:00 AM,121646,1126768,8417,12859,210,5366,61,1%,-7,14
GREENSBORO,01/01/2011 12:00:00 AM,1639951,2233951,4492,68499,342,6532,200,3%,-2,45
GREENSBORO BEND,01/01/2011 12:00:00 AM,207225,936687,307,13250,152,6162,87,1%,0,94
GROTON,01/01/2011 12:00:00 AM,555405,3419578,7874,24423,644,5310,38,1%,-2,20
GUILDHALL,01/01/2011 12:00:00 AM,218961,845409,22767,12479,131,6454,95,1%,0,43
GUILFORD,01/01/2011 12:00:00 AM,733141,2169011,4776,8516,338,6417,25,0%,113,26
HALIFAX,01/01/2011 12:00:00 AM,282430,2837065,95,3105,500,5674,6,0%,0,66
HANCOCK,01/01/2011 12:00:00 AM,298938,1284537,0,3360,207,6205,16,0%,6,2
HARDWICK,01/01/2011 12:00:00 AM,4899512,8128779,90671,242259,1268,6411,191,3%,307,-10
HARTFORD,01/01/2011 12:00:00 AM,35250731,14463535,282079,112472,1902,7604,59,1%,23,13
HARTLAND,01/01/2011 12:00:00 AM,2159455,10861141,39740,108035,1420,7649,76,1%,100,59
HIGHGATE,01/01/2011 12:00:00 AM,5466474,9557705,175602,72336,1218,7847,59,1%,0,8
HIGHGATE CENTER,01/01/2011 12:00:00 AM,1304970,3269086,133064,140463,352,9287,399,4%,-29,58
HIGHGATE FALLS,01/01/2011 12:00:00 AM,0,105444,0,0,12,8787,0,0%,0,0
HIGHGATE SPRINGS,01/01/2011 12:00:00 AM,135124,377345,0,8047,72,5241,112,2%,0,1
HINESBURG,01/01/2011 12:00:00 AM,6513803,13075996,127359,319359,1889,6922,169,2%,1132,879
HOLLAND,01/01/2011 12:00:00 AM,1030104,1749017,460229,149732,372,4702,403,9%,-201,-15
HUBBARDTON,01/01/2011 12:00:00 AM,402591,2896829,0,12421,521,5560,24,0%,0,10
HUNTINGTON,01/01/2011 12:00:00 AM,588111,5356140,32556,121586,816,6564,149,2%,125,199
HYDE PARK,01/01/2011 12:00:00 AM,3117908,9206379,84128,418631,1332,6912,314,5%,119,-18
HYDEVILLE,01/01/2011 12:00:00 AM,1368337,1925972,43354,33187,261,7379,127,2%,-2,-4
IRA,01/01/2011 12:00:00 AM,99843,1352782,232,5096,182,7433,28,0%,41,68
IRASBURG,01/01/2011 12:00:00 AM,2462819,3321027,466114,44951,478,6948,94,1%,0,79
ISLAND POND,01/01/2011 12:00:00 AM,2054380,3859895,29052,148607,842,4584,176,4%,-16,-2
ISLE LA MOTTE,01/01/2011 12:00:00 AM,568462,2188045,0,8143,464,4716,18,0%,0,1
JACKSONVILLE,01/01/2011 12:00:00 AM,736905,2068839,0,13415,430,4811,31,1%,0,30
JAMAICA,01/01/2011 12:00:00 AM,1096414,6520328,23277,52918,995,6553,53,1%,-17,305
JAY,01/01/2011 12:00:00 AM,7067140,3043851,19365,356810,740,4113,482,12%,77,208
JEFFERSONVILLE,01/01/2011 12:00:00 AM,2469946,2035160,37785,212508,352,5782,604,10%,93,173
JERICHO,01/01/2011 12:00:00 AM,5367118,14738304,70456,373533,1922,7668,194,3%,-33,184
JOHNSON,01/01/2011 12:00:00 AM,8627244,8872502,188462,217782,1323,6706,165,2%,557,46
JONESVILLE,01/01/2011 12:00:00 AM,74617,554731,0,4998,73,7599,68,1%,0,43
KILLINGTON,01/01/2011 12:00:00 AM,29160829,17064525,152535,328020,2562,6661,128,2%,2178,52
LAKE ELMORE,01/01/2011 12:00:00 AM,202507,2674504,5595,66256,348,7685,190,2%,-1,53
LANDGROVE,01/01/2011 12:00:00 AM,162679,1149983,0,1693,134,8582,13,0%,0,62
LEICESTER,01/01/2011 12:00:00 AM,181960,2309496,196,17837,388,5952,46,1%,13,102
LEMINGTON,01/01/2011 12:00:00 AM,8724,334009,0,196,73,4575,3,0%,0,0
LINCOLN,01/01/2011 12:00:00 AM,231900,828887,1465,3998,140,5921,29,0%,0,0
LONDONDERRY,01/01/2011 12:00:00 AM,3547995,6798805,26003,92115,897,7579,103,1%,8,91
LOWELL,01/01/2011 12:00:00 AM,350000,2382108,99,48570,405,5882,120,2%,0,-2
LOWER WATERFORD,01/01/2011 12:00:00 AM,0,159709,0,776,24,6655,32,0%,0,0
LUDLOW,01/01/2011 12:00:00 AM,29519371,19759999,135717,351439,3640,5429,97,2%,274,47
LUNENBURG,01/01/2011 12:00:00 AM,512990,3866657,25498,39568,593,6521,67,1%,0,1
LYNDON,01/01/2011 12:00:00 AM,10008944,13311896,178795,365273,1916,6948,191,3%,-111,-85
LYNDON CENTER,01/01/2011 12:00:00 AM,410010,299956,8199,4836,45,6666,107,2%,-6,0
LYNDONVILLE,01/01/2011 12:00:00 AM,11549682,3341600,466133,216726,596,5607,364,6%,-157,104
MAIDSTONE,01/01/2011 12:00:00 AM,201705,998021,0,3824,267,3738,14,0%,0,0
MANCHESTER,01/01/2011 12:00:00 AM,12351046,6944171,184167,91808,734,9461,125,1%,518,189
MANCHESTER CENTER,01/01/2011 12:00:00 AM,19187929,15011684,426443,521338,1809,8298,288,3%,195,222
MARLBORO,01/01/2011 12:00:00 AM,1218112,2843042,183,59369,495,5744,120,2%,32,250
MARSHFIELD,01/01/2011 12:00:00 AM,1203950,4478774,8353,80814,693,6463,117,2%,-7,104
MCINDOE FALLS,01/01/2011 12:00:00 AM,2993,138119,0,8993,21,6577,428,7%,0,-5
MENDON,01/01/2011 12:00:00 AM,1525903,3066169,12550,15880,429,7147,37,1%,-3,104
MIDDLEBURY,01/01/2011 12:00:00 AM,81727127,22730038,1180635,574972,3192,7121,180,3%,-119,944
MIDDLESEX,01/01/2011 12:00:00 AM,1264889,1923834,1951,73719,273,7047,270,4%,-1,488
MIDDLETOWN SPRINGS,01/01/2011 12:00:00 AM,427063,2665869,4475,30239,396,6732,76,1%,0,381
MILTON,01/01/2011 12:00:00 AM,34683789,33642308,392732,1016328,4296,7831,237,3%,-85,219
MONKTON,01/01/2011 12:00:00 AM,768826,6912710,42767,49816,826,8369,60,1%,-29,148
MONTGOMERY,01/01/2011 12:00:00 AM,1347149,3862395,3033,90661,702,5502,129,2%,-1,6
MONTPELIER,01/01/2011 12:00:00 AM,56889842,25366180,591986,1455218,4354,5826,334,6%,295,1960
MORETOWN,01/01/2011 12:00:00 AM,1638567,6039810,28135,152495,933,6474,163,3%,131,611
MORGAN,01/01/2011 12:00:00 AM,477885,2766287,7484,61042,675,4098,90,2%,0,1
MORRISVILLE,01/01/2011 12:00:00 AM,23732291,17607982,473659,911628,2449,7190,372,5%,-59,70
MOUNT HOLLY,01/01/2011 12:00:00 AM,551352,6037021,953,72115,978,6173,74,1%,0,694
MOUNT TABOR,01/01/2011 12:00:00 AM,199099,498924,0,3858,65,7676,59,1%,0,11
NEW HAVEN,01/01/2011 12:00:00 AM,4273037,6621518,73597,217187,731,9058,297,3%,477,259
NEWARK,01/01/2011 12:00:00 AM,12041,222558,9208,491,92,2419,5,0%,-6,0
NEWBURY,01/01/2011 12:00:00 AM,3104546,6765544,33979,261984,1128,5998,232,4%,-24,127
NEWFANE,01/01/2011 12:00:00 AM,1395516,5839473,2327,113115,854,6838,132,2%,140,23
NEWPORT,01/01/2011 12:00:00 AM,32235044,16645610,304346,761137,2883,5774,264,5%,246,-32
NORTH BENNINGTON,01/01/2011 12:00:00 AM,12388727,3203126,340886,188560,462,6933,408,6%,148,221
NORTH CONCORD,01/01/2011 12:00:00 AM,168420,1056280,0,12608,196,5389,64,1%,0,1
NORTH DANVILLE,01/01/2011 12:00:00 AM,107680,1586727,307,14116,198,8014,71,1%,0,1
NORTH DORSET,01/01/2011 12:00:00 AM,26458,227121,0,196,29,7832,7,0%,0,0
NORTH DUXBURY,01/01/2011 12:00:00 AM,0,13240,0,1614,3,4413,538,12%,0,47
NORTH FERRISBURGH,01/01/2011 12:00:00 AM,28515,501038,12859,16877,66,7591,256,3%,0,101
NORTH HARTLAND,01/01/2011 12:00:00 AM,797447,702693,13062,3493,93,7556,38,0%,-1,0
NORTH HERO,01/01/2011 12:00:00 AM,1444471,3887792,39438,65672,872,4458,75,2%,-16,16
NORTH HYDE PARK,01/01/2011 12:00:00 AM,77742,28311,1048,2377,4,7078,594,8%,40,0
NORTH MONTPELIER,01/01/2011 12:00:00 AM,3292,182140,0,888,27,6746,33,0%,0,0
NORTH POMFRET,01/01/2011 12:00:00 AM,6374,79233,0,11230,11,7203,1021,14%,0,0
NORTH SPRINGFIELD,01/01/2011 12:00:00 AM,13238784,5000327,59650,81194,745,6712,109,2%,-48,251
NORTHFIELD,01/01/2011 12:00:00 AM,26119313,11190443,72858,258793,1776,6301,146,2%,-48,252
NORTHFIELD FALLS,01/01/2011 12:00:00 AM,276270,1910673,0,17782,266,7183,67,1%,0,11
NORTON,01/01/2011 12:00:00 AM,385135,635645,0,8520,184,3455,46,1%,0,-1
NORWICH,01/01/2011 12:00:00 AM,3866731,12440796,112195,175349,1580,7874,111,1%,-94,144
ORANGE,01/01/2011 12:00:00 AM,678854,485084,64,10992,68,7134,162,2%,11,48
ORLEANS,01/01/2011 12:00:00 AM,9458621,5005143,28883,125225,827,6052,151,3%,-6,13
ORWELL,01/01/2011 12:00:00 AM,1023200,5151079,8841,167771,606,8500,277,3%,-7,158
PANTON,01/01/2011 12:00:00 AM,803873,3008285,23473,301279,282,10668,1068,10%,-4,14
PASSUMPSIC,01/01/2011 12:00:00 AM,29043,685375,0,38717,100,6854,387,6%,0,-4
PAWLET,01/01/2011 12:00:00 AM,1295280,4585000,37524,172697,508,9026,340,4%,-11,557
PEACHAM,01/01/2011 12:00:00 AM,402871,2627462,13700,88132,463,5675,190,3%,28,-61
PERKINSVILLE,01/01/2011 12:00:00 AM,314323,1286889,3040,17379,166,7752,105,1%,-2,0
PERU,01/01/2011 12:00:00 AM,2413209,5960886,75739,43679,664,8977,66,1%,421,51
PITTSFIELD,01/01/2011 12:00:00 AM,822746,2800723,1903,20117,406,6898,50,1%,-1,105
PITTSFORD,01/01/2011 12:00:00 AM,2474577,8940504,3833,195645,1239,7216,158,2%,0,328
PLAINFIELD,01/01/2011 12:00:00 AM,1537998,4192612,57988,113563,696,6024,163,3%,-4,253
PLYMOUTH,01/01/2011 12:00:00 AM,1089074,5069689,363,41019,647,7836,63,1%,0,121
POMFRET,01/01/2011 12:00:00 AM,706086,3831098,0,4775,512,7483,9,0%,0,2
POULTNEY,01/01/2011 12:00:00 AM,8621462,10631879,88684,163987,1569,6776,105,2%,90,257
POWNAL,01/01/2011 12:00:00 AM,2605653,11294049,7665,102143,1518,7440,67,1%,-4,107
PROCTOR,01/01/2011 12:00:00 AM,875420,6482667,75005,97823,812,7984,120,2%,128,207
PUTNEY,01/01/2011 12:00:00 AM,25068448,8107758,126835,316683,1189,6819,266,4%,226,581
QUECHEE,01/01/2011 12:00:00 AM,5974637,14072562,125277,90915,1650,8529,55,1%,-60,6
RANDOLPH,01/01/2011 12:00:00 AM,38707634,17147302,390145,727227,2363,7257,308,4%,124,634
READING,01/01/2011 12:00:00 AM,702964,2766308,307,23588,394,7021,60,1%,0,68
READSBORO,01/01/2011 12:00:00 AM,565918,2782886,0,5234,488,5703,11,0%,0,0
RICHFORD,01/01/2011 12:00:00 AM,11052038,6895350,395339,382800,1015,6793,377,6%,-208,-23
RICHMOND,01/01/2011 12:00:00 AM,5555258,12235696,67497,444923,1627,7520,273,4%,-47,703
RIPTON,01/01/2011 12:00:00 AM,824772,1808202,11190,20467,293,6171,70,1%,-8,27
ROCHESTER,01/01/2011 12:00:00 AM,1766662,4285921,2095,34221,727,5895,47,1%,-1,120
ROCKINGHAM,01/01/2011 12:00:00 AM,340024,848035,53871,4861,111,7640,44,1%,-20,16
ROXBURY,01/01/2011 12:00:00 AM,401627,2079756,8515,11448,340,6117,34,1%,-6,19
ROYALTON,01/01/2011 12:00:00 AM,5192050,3322216,80274,16578,453,7334,37,0%,-33,56
RUPERT,01/01/2011 12:00:00 AM,386095,3571238,32339,13224,425,8403,31,0%,0,195
RUTLAND,01/01/2011 12:00:00 AM,170616538,62568074,1855008,3018830,8914,7019,339,5%,2573,1946
RYEGATE,01/01/2011 12:00:00 AM,1161290,3141687,129353,67489,454,6920,149,2%,0,1
SAINT ALBANS,01/01/2011 12:00:00 AM,115031485,38665890,1603693,1435018,5741,6735,250,4%,-459,287
SAINT GEORGE,01/01/2011 12:00:00 AM,416644,2193285,62302,11243,294,7460,38,1%,-49,78
SAINT JOHNSBURY,01/01/2011 12:00:00 AM,55563120,20984348,898054,826523,3236,6485,255,4%,-136,-68
SAINT JOHNSBURY CENTER,01/01/2011 12:00:00 AM,2073353,1191956,203018,10543,174,6850,61,1%,-147,0
SALISBURY,01/01/2011 12:00:00 AM,1336400,4996440,23637,97932,605,8259,162,2%,-9,126
SANDGATE,01/01/2011 12:00:00 AM,42367,761607,0,2718,166,4588,16,0%,0,48
SAXTONS RIVER,01/01/2011 12:00:00 AM,265996,890702,2219,9182,148,6018,62,1%,-2,7
SEARSBURG,01/01/2011 12:00:00 AM,78704,437025,0,3441,85,5141,40,1%,0,0
SHAFTSBURY,01/01/2011 12:00:00 AM,5627473,12776134,216387,210914,1660,7696,127,2%,-136,214
SHARON,01/01/2011 12:00:00 AM,1841130,4580139,9943,48785,656,6982,74,1%,0,31
SHEFFIELD,01/01/2011 12:00:00 AM,284200,2036783,41197,42226,317,6425,133,2%,-25,-4
SHELBURNE,01/01/2011 12:00:00 AM,26163511,24677321,543731,1032912,2810,8782,368,4%,-167,687
SHELDON,01/01/2011 12:00:00 AM,54012612,6811596,974860,156354,776,8778,201,2%,203,4
SHOREHAM,01/01/2011 12:00:00 AM,3171394,5316965,176600,62404,600,8862,104,1%,37,33
SHREWSBURY,01/01/2011 12:00:00 AM,248858,1674291,870,12063,232,7217,52,1%,0,339
SOUTH BARRE,01/01/2011 12:00:00 AM,2746391,2949153,3633,208180,422,6989,493,7%,-3,44
SOUTH BURLINGTON,01/01/2011 12:00:00 AM,165639816,52539993,3600251,4615019,7997,6570,577,9%,109,-361
SOUTH DORSET,01/01/2011 12:00:00 AM,54489,1121167,2276,330,101,11101,3,0%,-2,19
SOUTH HERO,01/01/2011 12:00:00 AM,2420786,6057668,38780,98562,1036,5847,95,2%,-16,165
SOUTH LONDONDERRY,01/01/2011 12:00:00 AM,997335,3679963,18057,36872,513,7173,72,1%,43,127
SOUTH NEWFANE,01/01/2011 12:00:00 AM,16446,1051690,0,8868,180,5843,49,1%,0,54
SOUTH POMFRET,01/01/2011 12:00:00 AM,4096,153468,0,25652,17,9028,1509,17%,0,-4
SOUTH ROYALTON,01/01/2011 12:00:00 AM,3718869,5021772,42769,224170,859,5846,261,4%,-6,189
SOUTH RYEGATE,01/01/2011 12:00:00 AM,15952,509569,8152,6463,69,7385,94,1%,-4,0
SOUTH WOODBURY,01/01/2011 12:00:00 AM,7,12903,0,632,2,6452,316,5%,0,0
SOUTH WOODSTOCK,01/01/2011 12:00:00 AM,27758,168235,1302,12199,23,7315,530,7%,36,0
SPRINGFIELD,01/01/2011 12:00:00 AM,28417557,23018383,335892,306116,3323,6927,92,1%,-209,433
STAMFORD,01/01/2011 12:00:00 AM,358473,2950215,0,4918,412,7161,12,0%,0,77
STANNARD,01/01/2011 12:00:00 AM,2708,151658,0,1891,27,5617,70,1%,0,-34
STARKSBORO,01/01/2011 12:00:00 AM,722321,5839112,17154,42356,786,7429,54,1%,-5,42
STOCKBRIDGE,01/01/2011 12:00:00 AM,496137,3230977,20465,19785,484,6676,41,1%,38,50
STOWE,01/01/2011 12:00:00 AM,56743960,25282874,699657,600938,3708,6818,162,2%,-65,492
STRAFFORD,01/01/2011 12:00:00 AM,718393,3312538,7635,42923,531,6238,81,1%,17,82
STRATTON,01/01/2011 12:00:00 AM,13095535,9544963,395989,5759,1316,7253,4,0%,13228,30
SUDBURY,01/01/2011 12:00:00 AM,47604,1117883,0,3125,211,5298,15,0%,0,41
