Incident ID,Incident Date/Time,Agency,Incident Type,Town of Incident,County of Incident,County of Arrest,Arrest Statute,Arresting Agency,Arrestee Gender,Arrestee Age,Count
16C200937,04/07/2016 11:41:00 PM,VSP: New Haven,Drive/Operate Under Influence|Attempting to Elude Police|C&N Operation|Accident - Property,Weybridge,Addison,Addison,23V1201A3#1,VSP: New Haven,Male,38,1
16C200937,04/07/2016 11:41:00 PM,VSP: New Haven,Drive/Operate Under Influence|Attempting to Elude Police|C&N Operation|Accident - Property,Weybridge,Addison,Addison,23V1201A3#1,VSP: New Haven,Male,38,1
16A301448,04/08/2016 01:00:00 AM,VSP: Middlesex,Drive/Operate Under Influence|Traffic Stop|DLS,Worcester,Washington,Washington,23V1201,VSP: Middlesex,Male,38,1
16B101103,04/08/2016 01:57:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201A1#2,VSP: Saint Johnsbury,Male,26,1
16D301128,04/08/2016 03:34:00 PM,VSP: Royalton,Drive/Operate Under Influence,Hartland,Windsor,Windsor,23V1201,VSP: Royalton,Male,27,1
16A201565,04/08/2016 07:22:00 PM,VSP: Saint Albans,Agency Assist|Other|Drive/Operate Under Influence,St. Albans Town,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,44,1
16D100824,04/08/2016 09:58:00 PM,VSP: Rockingham,Drive/Operate Under Influence,Rockingham,Windham,Windham,23V1201A1#1/R,VSP: Rockingham,Male,34,1
16D301135,04/08/2016 10:58:00 PM,VSP: Royalton,Drive/Operate Under Influence,Royalton,Windsor,Windsor,23V1201A1#3,VSP: Royalton,Female,50,1
16D100826,04/08/2016 11:24:00 PM,VSP: Rockingham,Drive/Operate Under Influence|Accident - Property,Rockingham,Windham,Windham,23V1201A1#1/R,VSP: Rockingham,Male,37,1
16B201165,04/09/2016 12:40:00 AM,VSP: Derby,Drive/Operate Under Influence,Derby,Orleans,Orleans,23V1201,VSP: Derby,Male,22,1
16B101112,04/09/2016 01:23:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201A1#1/R,VSP: Saint Johnsbury,Male,55,1
16B101113,04/09/2016 01:52:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Female,34,1
16A201584,04/09/2016 09:18:00 PM,VSP: Saint Albans,Drive/Operate Under Influence|Drugs - Possession|Violate Conditions of Release,St. Albans Town,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,20,1
16A201584,04/09/2016 09:18:00 PM,VSP: Saint Albans,Drive/Operate Under Influence|Drugs - Possession|Violate Conditions of Release,St. Albans Town,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,20,1
16A201584,04/09/2016 09:18:00 PM,VSP: Saint Albans,Drive/Operate Under Influence|Drugs - Possession|Violate Conditions of Release,St. Albans Town,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,20,1
16D100838,04/09/2016 11:00:00 PM,VSP: Rockingham,Accident - Property|Other|Drive/Operate Under Influence|Accident - Property,Landgrove,Bennington,Bennington,23V1201A2#2,VSP: Rockingham,Male,36,1
16B101119,04/10/2016 12:45:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence|Traffic Stop,Lyndon,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Male,40,1
16C301141,04/10/2016 10:22:00 PM,VSP: Shaftsbury,Drive/Operate Under Influence,Winhall,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,25,1
16A301492,04/10/2016 10:55:00 PM,VSP: Middlesex,Drive/Operate Under Influence|Vandalism,Waterbury,Washington,Washington,23V1201,VSP: Middlesex,Female,35,1
16D200875,04/11/2016 06:57:00 PM,VSP: Brattleboro,Citizen Assist|Drive/Operate Under Influence|Traffic Stop|Traffic Stop,Dummerston,Windham,Windham,23V1201A1#3,VSP: Brattleboro,Male,37,1
16D200877,04/11/2016 08:09:00 PM,VSP: Brattleboro,DLS|Drive/Operate Under Influence|Violate Conditions of Release,Brattleboro,Windham,Windham,23V1201B#3,VSP: Brattleboro,Female,34,1
16A201614,04/11/2016 11:43:00 PM,VSP: Saint Albans,Drive/Operate Under Influence|Bribery,Fairfax,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,49,1
16B101135,04/12/2016 01:28:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201A1#1,VSP: Saint Johnsbury,Male,22,1
16B201204,04/12/2016 04:53:00 AM,VSP: Derby,Accident - Injury|Drive/Operate Under Influence,Barton,Orleans,Orleans,23V1201,VSP: Derby,Female,26,1
16A101763,04/12/2016 04:58:00 PM,VSP: Williston,Drive/Operate Under Influence|C&N Operation|Attempting to Elude Police|K9|Drugs - Possession|Other,Jericho,Chittenden,Chittenden,23V1201,VSP: Williston,Female,36,1
16C301160,04/12/2016 07:05:00 PM,VSP: Shaftsbury,Drive/Operate Under Influence,Rupert,Bennington,Bennington,23V1201A1#3/R,VSP: Shaftsbury,Male,51,1
16C301162,04/12/2016 08:25:00 PM,VSP: Shaftsbury,Drive/Operate Under Influence,Bennington,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,55,1
16D301182,04/12/2016 10:18:00 PM,VSP: Royalton,Drive/Operate Under Influence,Bethel,Windsor,Windsor,23V1201,VSP: Royalton,Female,42,1
16B201224,04/13/2016 11:30:00 AM,VSP: Derby,Drive/Operate Under Influence,Newport City,Orleans,Orleans,23V1201,VSP: Derby,Female,31,1
16C200988,04/13/2016 07:07:00 PM,VSP: New Haven,Drive/Operate Under Influence|Drugs - Other|Drug Crime - General,Middlebury,Addison,Addison,23V1201A3#1,VSP: New Haven,Male,22,1
16C200990,04/14/2016 12:57:00 AM,VSP: New Haven,Drive/Operate Under Influence,Bristol,Addison,Addison,23V1201,VSP: New Haven,Male,23,1
16B201234,04/14/2016 09:17:00 AM,VSP: Other,Accident - Property|Drive/Operate Under Influence|Other|Violate Conditions of Release|Drug Crime - General,Jay,Orleans,Orleans,23V1201,VSP: Headquarters,Male,50,1
16C200997,04/14/2016 08:54:00 PM,VSP: New Haven,Drive/Operate Under Influence,Salisbury,Addison,Addison,23V1201,VSP: New Haven,Male,71,1
16C301204,04/15/2016 08:37:00 PM,VSP: Shaftsbury,Drive/Operate Under Influence|DLS,Shaftsbury,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,51,1
16C201007,04/15/2016 09:33:00 PM,VSP: New Haven,Drive/Operate Under Influence|Drugs - Possession,Bristol,Addison,Addison,23V1201A1#2,VSP: New Haven,Male,24,1
16B201263,04/15/2016 10:40:00 PM,VSP: Derby,Drive/Operate Under Influence|Disorderly Conduct|C&N Operation|Other,Derby,Orleans,Orleans,23V1201A1#2,VSP: Derby,Female,37,1
16B201263,04/15/2016 10:40:00 PM,VSP: Derby,Drive/Operate Under Influence|Disorderly Conduct|C&N Operation|Other|Simple Assault,Derby,Orleans,Orleans,23V1201A1#2,VSP: Derby,Female,37,1
16A201684,04/16/2016 12:00:00 AM,VSP: Saint Albans,Accident - Property|Drive/Operate Under Influence|C&N Operation|Drugs - Possession|Probation/Parole Violation/Check,Georgia,Franklin,Franklin,23V1201,VSP: Saint Albans,Female,45,1
16A201697,04/16/2016 04:00:00 PM,VSP: Saint Albans,Drive/Operate Under Influence,Highgate,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,20,1
16D100891,04/16/2016 05:03:00 PM,VSP: Rockingham,Traffic Stop|Accident - Property|Drive/Operate Under Influence,Londonderry,Windham,Windham,23V1201A3#1,VSP: Rockingham,Female,62,1
16D100893,04/16/2016 06:57:00 PM,VSP: Rockingham,Drive/Operate Under Influence,Bellows Falls,Windham,Windham,23V1201A1#2,VSP: Rockingham,Male,55,1
16D301231,04/16/2016 10:03:00 PM,VSP: Royalton,Accident - Property|Drive/Operate Under Influence,Unknown,Unknown,Unknown,23V1201,VSP: Royalton,Male,37,1
16D100895,04/16/2016 10:26:00 PM,VSP: Rockingham,Drive/Operate Under Influence,Chester,Windsor,Windsor,23V1201,VSP: Rockingham,Female,66,1
16B101204,04/17/2016 01:44:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Female,27,1
