Building Name,Building No.,Building Address,Town,Electrical (kWh),Electrical ($),Natural Gas (ccf),Natural Gas ($),Propane (gal),Propane ($),No. 1 Oil (gal),No. 1 Oil ($),No. 2 Oil (gal),No. 2 Oil ($),No. 6 Oil (gal),No. 6 Oil ($),Wood Chunk (cord),Wood Chunk ($),Wood Chip (ton),Wood Chip ($),Wood Pellet (ton),Wood Pellet ($),Biodiesel Blend (B20) (gal),Biodiesel Blend (B20) ($),Diesel (gal),Diesel ($),Gasohol (gal),Gasohol ($), BLDG TOTAL ($),Year,Location
NWSCF 50 Bed Satellite Unit,6331,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Cow Barn,6460,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
6 & 7 North,6355,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
10 Baldwin St,6006,10 Baldwin St,Montpelier,3819.00,$1970.76,,,,,,,2651.10,$6535.86,,,,,,,,,,,,,,,$8506.62,01/01/2010 12:00:00 AM,"10 Baldwin St
Montpelier, VT
(44.26297192600049, -72.58289706099964)"
SSCF BC-Seg Building,6516,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
McFarland State Office,6071,5 Perry St,Barre,616075.06,$72603.12,,,,,,,22001.00,$53685.27,,,,,,,,,,,,,,,$126288.39,01/01/2009 12:00:00 AM,"5 Perry St
Barre, VT
(44.19508157000047, -72.49818453599966)"
Williston South Information Center,9049,"I-89 Southbound, Mile Marker 83",Williston,180505.00,$26213.83,,,,,,,4770.20,$17406.53,,,,,,,,,,,,,,,$43620.36,01/01/2012 12:00:00 AM,"I-89 Southbound, Mile Marker 83
Williston, VT
(44.45307249700045, -73.11672904099964)"
Sewage Pump Station,6617,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Building 1705,6200,424 Hegeman Ave,Colchester,15266.00,$2315.66,75.00,$462.60,,,,,1741.90,$5406.00,,,,,,,,,,,,,,,$8184.26,01/01/2011 12:00:00 AM,"424 Hegeman Ave
Colchester, VT
(44.507221855000466, -73.14660312499967)"
Education Building,6446,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Maintenance Building,6278,405 Academy Rd,Pittsford,13336.00,$2067.96,,,,,,,,,,,,,,,,,,,,,,,$2067.96,01/01/2012 12:00:00 AM,"405 Academy Rd
Pittsford, VT
(43.71565745300046, -73.01878346699965)"
Storage Building,6306,McKinley Ave Complex,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"McKinley Ave Complex
Rutland, VT
(43.605093197000485, -72.97827833599968)"
District Court & Office,6260,217 Main St,Newport,89120.00,$14461.64,,,,,,,13601.30,$43846.12,,,,,,,,,,,,,,,$58307.76,01/01/2011 12:00:00 AM,"217 Main St
Newport, VT
(44.935382553000466, -72.21042157399967)"
Sign/Machine Shop,6454,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Multi-Modal Transit Center,6313,102 West St,Rutland,589758.00,$71598.67,,,11135.70,$20491.14,,,,,,,,,,,,,,,,,,,$92089.81,01/01/2012 12:00:00 AM,"102 West St
Rutland, VT
(43.60789198800046, -72.97954380799968)"
North Connector,6352,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Forensics Lab,6397,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
BGS Garage (outside fence),6467,546 State Farm Rd,Windsor,,,,,365.80,$509.04,,,,,,,,,,,,,,,,,,,$509.04,01/01/2013 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
CCWC Dorm,6347,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
Guilford Welcome Center,9734,1235 Broad Brook Rd,Guilford,261830.00,$36877.24,,,5180.90,$7596.90,,,,,,,,,,,,,,,,,,,$44474.14,01/01/2013 12:00:00 AM,"1235 Broad Brook Rd
Guilford, VT
(42.814552738000486, -72.56738958699964)"
Trailer,,200 Veteran's Memorial Dr,Bennington,58600.00,$10442.72,,,,,,,,,,,,,,,,,,,,,,,,01/01/2013 12:00:00 AM,"200 Veteran's Memorial Dr
Bennington, VT
(42.88864540200046, -73.19911107899964)"
Sign/Machine Shop,6454,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
SSCF DEF Building,6517,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
NWSCF Auto Shop,6332,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Headquarters,6308,McKinley Ave Complex,Rutland,214623.00,$27859.70,,,,,,,,,,,,,,,,,,,,,,,$27859.70,01/01/2010 12:00:00 AM,"McKinley Ave Complex
Rutland, VT
(43.605093197000485, -72.97827833599968)"
B Building Annex/Old Storehouse,6392,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Waterfront Streetlights,6269,100 Main St,Newport,7774.00,$1472.58,,,,,,,,,,,,,,,,,,,,,,,,01/01/2013 12:00:00 AM,"100 Main St
Newport, VT
(44.936065957000494, -72.20856086599963)"
10 Baldwin St,6006,10 Baldwin St,Montpelier,2893.00,$1984.55,,,,,,,3473.50,$11830.89,,,,,,,,,,,,,,,$13815.44,01/01/2013 12:00:00 AM,"10 Baldwin St
Montpelier, VT
(44.26297192600049, -72.58289706099964)"
NESCF Main Building,6341,1270 US Rte 5,St. Johnsbury,,,,,68.20,$124.68,,,,,,,,,,,,,,,,,,,$124.68,01/01/2012 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
Route 2,,,East Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"East Montpelier, VT
(44.270362229000455, -72.48728747699965)"
Georgia South Information Center,7,5800 Rte 89 South,Georgia,42640.00,$5274.10,,,1027.90,$1767.91,,,,,,,,,,,,,,,,,,,$7042.01,01/01/2010 12:00:00 AM,"5800 Rte 89 South
Georgia, VT
(44.70425780400046, -73.10441586099967)"
128 State St,6023,128 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"128 State St
Montpelier, VT
(44.261562479000474, -72.58188675999963)"
NSCF Living Unit C,6265,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
Court House,6300,9 Merchants Row,Rutland,542333.19,$63912.80,,,,,,,20618.00,$38055.71,,,,,,,,,,,,,,,$101968.51,01/01/2009 12:00:00 AM,"9 Merchants Row
Rutland, VT
(43.60902150700048, -72.98084682899963)"
Transportation,6309,McKinley Ave Complex,Rutland,,,,,88.60,$178.63,,,966.70,$3499.55,,,,,,,,,,,,,,,$3678.18,01/01/2012 12:00:00 AM,"McKinley Ave Complex
Rutland, VT
(43.605093197000485, -72.97827833599968)"
NESCF Main Building,6341,1270 US Rte 5,St. Johnsbury,,,,,88804.00,$125045.19,,,,,,,,,,,,,,,,,,,$125045.19,01/01/2009 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
9 Baldwin St,6005,9 Baldwin St,Montpelier,15171.00,$2242.35,,,,,,,1184.60,$2913.55,,,,,,,,,,,,,,,$5155.90,01/01/2010 12:00:00 AM,"9 Baldwin St
Montpelier, VT
(44.263066679000474, -72.58306406199966)"
NSCF VCI 1,6268,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
10 South,6364,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
NWSCF Sewage Building,6328,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Troop Headquarters,6295,2011 VT Rte 107,Royalton,117998.00,$19366.67,,,437.40,$898.78,,,1791.30,$6373.88,,,,,,,,,,,,,,,$26639.33,01/01/2012 12:00:00 AM,"2011 VT Rte 107
Royalton, VT
(43.82341148100045, -72.60459188999965)"
Troop Headquarters,6110,1594 Waits River Rd,Bradford,36320.00,$4142.20,,,,,,,,,,,,,,,,,,,,,,,$4142.20,01/01/2011 12:00:00 AM,"1594 Waits River Rd
Bradford, VT
(43.98572652100046, -72.14094055599963)"
CCWC Wood Shed 1,6349,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
Regional Library,6342,23 Tilton Rd,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"23 Tilton Rd
St. Johnsbury, VT
(44.42804427100049, -72.05235856399963)"
Remote Radio Building,6244,2490 Ethan Allen Highway,New Haven,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"2490 Ethan Allen Highway
New Haven, VT
(44.08327923000047, -73.17642245699966)"
Court House,6300,9 Merchants Row,Rutland,442328.00,$63903.94,,,,,,,27014.00,$63584.14,,,,,,,,,,,,,,,$127488.08,01/01/2010 12:00:00 AM,"9 Merchants Row
Rutland, VT
(43.60902150700048, -72.98084682899963)"
NWSCF Auto Shop,6332,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Pump House,6470,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
NWSCF 50 Bed Satellite Unit,6331,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Day Care,6255,140 Three Mile Bridge Rd,Middlesex,2292.00,$654.97,,,,,,,1243.00,$3864.57,,,,,,,,,,,,,,,$4519.54,01/01/2011 12:00:00 AM,"140 Three Mile Bridge Rd
Middlesex, VT
(44.26352504500045, -72.62377932499965)"
Court House,6300,9 Merchants Row,Rutland,442512.00,$72620.68,,,,,,,13007.00,$40552.07,,,,,,,,,,,,,,,$113172.75,01/01/2011 12:00:00 AM,"9 Merchants Row
Rutland, VT
(43.60902150700048, -72.98084682899963)"
Garage by Logue Cottage,6619,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Mobile Firing Range,,,Pittsford,19.00,$28.77,,,,,,,,,,,,,,,,,,,,,,,$28.77,01/01/2012 12:00:00 AM,"Pittsford, VT
(43.70595230200047, -73.02659763299965)"
Building 1707 Storage Building,6202,409 Hegeman Ave,Colchester,5381.00,$969.07,,,,,,,,,,,,,,,,,,,,,,,$969.07,01/01/2011 12:00:00 AM,"409 Hegeman Ave
Colchester, VT
(44.50725931700049, -73.14654465999968)"
NSCF Garage,6533,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
Pump Station,,,Guilford,21466.00,$5351.22,,,1703.80,$2803.60,,,,,,,,,,,,,,,,,,,$8154.82,01/01/2010 12:00:00 AM,"Guilford, VT
(42.81712111100046, -72.57596738699965)"
East Cottage,6271,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
NWSCF Program Building,6333,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Park Row Ext,,,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"Waterbury, VT
(44.33871221600049, -72.75730654699964)"
Milk Barn,6461,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
B Building Annex/Old Storehouse,6392,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Domestic Water Building,6471,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Derby Welcome Center,3,1076 Rte I-91 Southbound,Derby,27033.00,$4620.41,,,,,,,235.50,$587.69,,,6.00,$1050.00,,,,,,,,,,,$6258.10,01/01/2010 12:00:00 AM,"1076 Rte I-91 Southbound
Derby, VT
(44.95407646900048, -72.13292959899962)"
NSCF VCI 2,6531,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
1 Baldwin St,6003,1 Baldwin St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"1 Baldwin St
Montpelier, VT
(44.262666348000494, -72.58143431499963)"
112 State St,6011,112 State St,Montpelier,95559.00,$14029.74,,,,,,,,,,,,,,,,,,,,,,,$14029.74,01/01/2013 12:00:00 AM,"112 State St
Montpelier, VT
(44.26109226800048, -72.57991708599963)"
Recycling Building,6325,20 Houghton St,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"20 Houghton St
St. Albans, VT
(44.80955088100046, -73.08872640499965)"
SSCF Energy Building,6519,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
"1, 2, 3 South",6358,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Red Barn,6285,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
Maintenance Building,6278,405 Academy Rd,Pittsford,18719.31,$2206.03,,,,,,,403.30,$899.81,,,,,,,,,,,,,,,$3105.84,01/01/2009 12:00:00 AM,"405 Academy Rd
Pittsford, VT
(43.71565745300046, -73.01878346699965)"
CCWC Wood Shed 1,6349,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
North Country Dorm,6450,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Waterfront Streetlight,,,Newport,9900.99,$1166.81,,,,,,,,,,,,,,,,,,,,,,,$1166.81,01/01/2009 12:00:00 AM,"Newport, VT
(44.9353364960005, -72.21061830899964)"
Disposal Plant/Storage,6387,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Costello Court House,6173,32 Cherry St,Burlington,2126671.07,$250623.61,88964.40,$165817.65,,,,,,,,,,,,,,,,,46.00,$146.92,,,$416588.18,01/01/2009 12:00:00 AM,"32 Cherry St
Burlington, VT
(44.47918707600047, -73.21705125899967)"
Stanley Hall,6370,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Center Building,6373,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Wood Storage Shed 1 (outside fence),6464,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
5 North,6354,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Father Logue Camp Halls, 6613-6615,Hart Rd,Duxbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"Hart Rd
Duxbury, VT
(44.3293600070005, -72.76684821899966)"
Randolph North Information Center,13,"I-89 Northbound, Mile Marker 34",Randolph,0.00,$0.00,,,0.00,$-138.32,,,,,,,,,,,,,,,,,,,$-138.32,01/01/2010 12:00:00 AM,"I-89 Northbound, Mile Marker 34
Randolph, VT
(43.92281076600045, -72.66551819499966)"
State Office,6340,US Rte 5,St. Johnsbury,91310.00,$10094.18,,,,,,,1915.20,$4759.27,,,,,,,,,,,,,,,$14853.45,01/01/2010 12:00:00 AM,"US Rte 5
St. Johnsbury, VT
(44.31861223600049, -72.03756742399963)"
CRCF,6172,7 Farrell St,South Burlington,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"7 Farrell St
South Burlington, VT
(44.44626522700048, -73.20447875099967)"
District Court,6321,36 Lake St,St. Albans,282522.00,$47141.87,20583.00,$20114.78,,,,,,,,,,,,,,,,,,,,,$67256.65,01/01/2011 12:00:00 AM,"36 Lake St
St. Albans, VT
(44.81082175200049, -73.08498130199968)"
Radio & Communications Storage,6256,409 US Rte 2,Middlesex,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"409 US Rte 2
Middlesex, VT
(44.27601227600047, -72.64280804899965)"
5 North,6354,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Former Armory,6314,62 Pierpont Ave,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"62 Pierpont Ave
Rutland, VT
(43.610182042000474, -72.99133420299967)"
District Court & Office,6260,217 Main St,Newport,72680.00,$11990.56,,,,,,,10309.50,$35503.73,,,,,,,,,,,,,,,$47494.29,01/01/2013 12:00:00 AM,"217 Main St
Newport, VT
(44.935382553000466, -72.21042157399967)"
Alburgh Welcome Center,9041,"70 Rte 2, North Main St",Alburgh,1585.00,$237.05,,,433.60,$768.82,,,,,,,,,,,,,,,,,,,$1005.87,01/01/2012 12:00:00 AM,"70 Rte 2, North Main St
Alburgh, VT
(44.98815910200045, -73.29604139799966)"
SSCF Maintenance,6518,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,235.40,$723.00,,,$723.00,01/01/2011 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
NESCF Wood Shed 4,6526,1270 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
NWSCF Print Shop,6330,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
BGS Maintenance Shop/Old House,6457,546 State Farm Rd,Windsor,,,,,,,,,1263.70,$3113.79,,,,,,,,,,,,,,,$3113.79,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
6 & 7 South,6362,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
District Court,6321,36 Lake St,St. Albans,274337.00,$48870.06,18213.00,$17854.00,,,,,,,,,,,,,,,,,,,,,$66724.06,01/01/2013 12:00:00 AM,"36 Lake St
St. Albans, VT
(44.81082175200049, -73.08498130199968)"
4 Governor Aiken Ave,6002,4 Governor Aiken Ave,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"4 Governor Aiken Ave
Montpelier, VT
(44.26230391900049, -72.58152314599965)"
District Court,6161,30 Putney Rd,Brattleboro,265951.99,$31341.87,,,,,,,6400.20,$12917.64,,,,,,,,,,,,,,,$44259.51,01/01/2009 12:00:00 AM,"30 Putney Rd
Brattleboro, VT
(42.85647372900047, -72.55992780599962)"
Boiler House,6443,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Bradford Welcome Center,2,"I-91 Northbound, Mile Marker 100",Bradford,42505.00,$4726.29,,,1445.80,$2446.15,,,,,,,,,,,,,,,,,,,$7172.44,01/01/2010 12:00:00 AM,"I-91 Northbound, Mile Marker 100
Bradford, VT
(43.992840026000465, -72.12826693699964)"
CCWC Wood Shed 3,6338,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
Garage Building,6296,2011 VT Rte 107,Royalton,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"2011 VT Rte 107
Royalton, VT
(43.82341148100045, -72.60459188999965)"
District Court & Office,6070,255 North Main St,Barre,884426.24,$104227.73,,,,,,,,,,,,,,,,,,,,,,,$104227.73,01/01/2009 12:00:00 AM,"255 North Main St
Barre, VT
(44.19962378100047, -72.50424160599965)"
Troop Headquarters,6110,1594 Waits River Rd,Bradford,34240.00,$4086.65,,,,,,,,,,,,,,,,,,,,,,,$4086.65,01/01/2012 12:00:00 AM,"1594 Waits River Rd
Bradford, VT
(43.98572652100046, -72.14094055599963)"
Oil Shed,6456,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
4 North,6353,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Motor Vehicles,6307,McKinley Ave Complex,Rutland,51261.00,$6368.02,,,,,,,1313.30,$4056.22,,,,,,,,,,,,,,,$10424.24,01/01/2011 12:00:00 AM,"McKinley Ave Complex
Rutland, VT
(43.605093197000485, -72.97827833599968)"
6 Baldwin St,6004,6 Baldwin St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"6 Baldwin St
Montpelier, VT
(44.26280255500046, -72.58220654999963)"
Building 617 (Former IBM Building),6229,30 Allen Martin Drive,Essex,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"30 Allen Martin Drive
Essex, VT
(44.49732986200047, -73.04579629599965)"
Lumber Drying Shed,6449,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
NSCF VCI 1,6268,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
Doctor's House,6270,197 Academy Rd,Pittsford,5570.00,$949.75,,,,,,,1531.60,$4758.89,,,,,,,,,,,,,,,$5708.64,01/01/2011 12:00:00 AM,"197 Academy Rd
Pittsford, VT
(43.714991815000474, -73.01519352099967)"
SSCF Energy Building,6519,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,872.50,$2211.49,,,$2211.49,01/01/2010 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
Dale Building,6365,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
112 State St,6011,112 State St,Montpelier,120729.99,$14227.77,,,,,,,,,,,,,,,,,,,,,,,$14227.77,01/01/2009 12:00:00 AM,"112 State St
Montpelier, VT
(44.26109226800048, -72.57991708599963)"
Mobil Firing Range,6292,317 Academy Rd,Pittsford,19.00,$28.77,,,,,,,,,,,,,,,,,,,,,,,$28.77,01/01/2013 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
